0,CombatZoneResize,191,246,446,391,TLResume,,,
0,HeartTeleport,320,376,,,,
0,HeartMode,1,,,,,
0,TLPause,,,,,,
0.2,BoneV,503,286,100,2,250,1
0.23333,BoneV,503,366,20,2,200,0
0.2,BoneV,503,356,30,2,200,0
0.2,BoneV,503,346,40,2,200,0
0.5,BoneV,503,286,100,2,250,1
0.2,BoneV,503,366,20,2,200,0
0.2,BoneV,503,356,30,2,200,0
0.2,BoneV,503,346,40,2,200,0
0.5,BoneV,503,286,100,2,250,1
0.2,BoneV,503,366,20,2,200,0
0.2,BoneV,503,356,30,2,200,0
0.2,BoneV,503,346,40,2,200,0
1.2,BoneV,128,286,100,0,250,1
0.2,BoneV,128,366,20,0,200,0
0.2,BoneV,128,356,30,0,200,0
0.2,BoneV,128,346,40,0,200,0
0.5,BoneV,128,286,100,0,250,1
0.2,BoneV,128,366,20,0,200,0
0.2,BoneV,128,356,30,0,200,0
0.2,BoneV,128,346,40,0,200,0
0.5,BoneV,128,286,100,0,250,1
0.2,BoneV,128,366,20,0,200,0
0.2,BoneV,128,356,30,0,200,0
0.2,BoneV,128,346,40,0,200,0
1.66666,EndAttack,,,,,,
